Route Number,Route Name,Boarding Points,Starting Time
R-17A,Valasaravakkam,"Valasaravakkam Shivan Koil, Valasaravakkam, Saravana Bhavan Hotel, Lakshmi Nagar, Porur Bridge, Iyyapanthangal, Kattupakkam, Kumanchavadi, RIT Campus",6:45 AM
R-18,Pallikarnai,"Pallikarnai, Kaiveli, Medavakam, Camp Road, Tambaram, Mudichur,RIT Campus",6:00 AM
R-18A,Sembakam,"Kamarajapuram, Rajakilpakkam Signal, Camp Road, Tambaram Sanatorium, Chrompet, Thiruneermalai, RIT Campus",6:25 AM
R-19,Poombukar,"Poombukar, Ganga Cinema, Donbosco, Korattur Bus Stop, Padi Britania, TVS Show Room, Ambattur",6:10 AM
R-20,Veppampattu,"Veppampattu Railway Station, Madha Kovil, Eswar Nagar, Indian Bank Thiruninravur, Thiruninravur Railway Station, Thiruninravur Bridge, Jaya College, Pattabiram Gandhi Nagar, Pattabiram Vasantha Mandapam, Sekkadu Bus Stand, Avadi Ponnu Store, Avadi JP Garden, Govarthanangiri Bus Stand, Chennirkuppam, RIT Campus",6:30 AM
R-21,Ayappakam,"Ayapakkam Parking, Ayappakam SBI ATM, Ayappakam Petrol Bunk, ICF Church, Canara Bank, Singapore Shopping, Senneerkuppam, RIT Campus",6:15 AM
R-22, Thiruthani,"Thiruthani Bypass, Thiruvallur Bypass x Road, Nagalamman Nagar, Swalpettaih,Government Hospital, Old Bus Stand, Railway Station, New Bus Stand, SR Gate, Navy Gate, Venkatesapuram, Marimangalam, Narasimapuram, Perambakkam, Koovam Bus Stop, Valarpuram, RIT Campus",5:55 AM
R-23,K4 Police Station,"Nathamuni Theatre, K4 Police Station, Labour Officers Quarters, Vijaya Maruthi, Udayam Colony, Kambar Colony, Anna Nagar West Depot, Thirumangalam Bridge, Thirumangalam Waves, RIT Campus",7:40 AM
R-24,Arcot,"Arcot Bus stand, Muthukadai, VC Motor, Walajapettai, Arignar Anna Gov College, Walajapettai Tollgate, Kaveripakkam, Perumpullipakam,Vinayagapuram(KPM), Vadamangalam",5:25 AM
R-25,Kallikuppam,"Kallikuppam, Stedford Hospital, Saraswathy Nagar Indian oil Petrol bunk, Maningandapuram, Thirumullaivoyal Junction, Vaishnavi Nagar, Murugappa Polytechnic, RIT Campus",6:45 AM
R-25A,Pudur,"Pudur, Oragadam HP Pump, PTR Mahal, Ponnu Supermarket, Govardhanagiri, RIT Campus",6:45 AM
